[2013-09-06 02:51:58,799](INFO)werkzeug :  * Restarting with reloader
[2013-09-06 02:52:05,942](INFO)werkzeug :  * Detected change in '/opt/app/web/views.py', reloading
[2013-09-06 02:52:05,954](INFO)werkzeug :  * Restarting with reloader
[2013-09-06 03:01:37,820](INFO)werkzeug :  * Running on http://0.0.0.0:8080/
[2013-09-06 03:01:37,821](INFO)werkzeug :  * Restarting with reloader
[2013-09-06 03:01:42,846](INFO)werkzeug : 192.168.198.1 - - [06/Sep/2013 03:01:42] "GET /upload HTTP/1.1" 200 -
[2013-09-06 03:01:46,823](INFO)werkzeug : 192.168.198.1 - - [06/Sep/2013 03:01:46] "POST /upload HTTP/1.1" 500 -
[2013-09-06 03:01:46,852](INFO)werkzeug : 192.168.198.1 - - [06/Sep/2013 03:01:46] "GET /upload?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[2013-09-06 03:01:46,862](INFO)werkzeug : 192.168.198.1 - - [06/Sep/2013 03:01:46] "GET /upload?__debugger__=yes&cmd=resource&f=jquery.js HTTP/1.1" 200 -
[2013-09-06 03:01:46,872](INFO)werkzeug : 192.168.198.1 - - [06/Sep/2013 03:01:46] "GET /upload?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[2013-09-06 03:01:46,876](INFO)werkzeug : 192.168.198.1 - - [06/Sep/2013 03:01:46] "GET /upload?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[2013-09-06 03:01:46,918](INFO)werkzeug : 192.168.198.1 - - [06/Sep/2013 03:01:46] "GET /upload?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[2013-09-06 03:01:46,931](INFO)werkzeug : 192.168.198.1 - - [06/Sep/2013 03:01:46] "GET /upload?__debugger__=yes&cmd=resource&f=source.png HTTP/1.1" 200 -
[2013-09-06 03:01:46,933](INFO)werkzeug : 192.168.198.1 - - [06/Sep/2013 03:01:46] "GET /upload?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[2013-09-09 18:55:19,998](INFO)werkzeug :  * Running on http://0.0.0.0:8080/
[2013-09-09 18:55:20,007](INFO)werkzeug :  * Restarting with reloader
[2013-09-09 19:00:23,484](INFO)werkzeug :  * Detected change in '/opt/app/web/views.py', reloading
[2013-09-09 19:00:23,505](INFO)werkzeug :  * Restarting with reloader
[2013-09-09 19:01:30,803](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:30] "GET /upload HTTP/1.1" 200 -
[2013-09-09 19:01:30,975](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:30] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-09 19:01:30,979](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:30] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-09 19:01:30,988](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:30] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-09 19:01:30,991](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:30] "GET /static/css/style.css HTTP/1.1" 304 -
[2013-09-09 19:01:30,994](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:30] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-09 19:01:32,725](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:32] "GET /static/js/vendor/jquery.ui.widget.js HTTP/1.1" 304 -
[2013-09-09 19:01:32,746](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:32] "GET /static/js/jquery.iframe-transport.js HTTP/1.1" 304 -
[2013-09-09 19:01:32,748](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:32] "GET /static/js/jquery.fileupload.js HTTP/1.1" 304 -
[2013-09-09 19:01:32,752](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:32] "GET /static/js/jquery.fileupload-process.js HTTP/1.1" 304 -
[2013-09-09 19:01:32,754](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:32] "GET /static/js/jquery.fileupload-image.js HTTP/1.1" 304 -
[2013-09-09 19:01:32,757](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:32] "GET /static/js/jquery.fileupload-audio.js HTTP/1.1" 304 -
[2013-09-09 19:01:32,759](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:32] "GET /static/js/jquery.fileupload-video.js HTTP/1.1" 304 -
[2013-09-09 19:01:32,761](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:32] "GET /static/js/jquery.fileupload-validate.js HTTP/1.1" 304 -
[2013-09-09 19:01:32,762](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:32] "GET /static/js/jquery.fileupload-ui.js HTTP/1.1" 304 -
[2013-09-09 19:01:32,765](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:32] "GET /static/js/main.js HTTP/1.1" 304 -
[2013-09-09 19:01:33,426](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:33] "GET /favicon.ico HTTP/1.1" 404 -
[2013-09-09 19:01:39,571](INFO)werkzeug : 192.168.198.1 - - [09/Sep/2013 19:01:39] "POST /upload HTTP/1.1" 200 -
[2013-09-10 17:35:29,674](INFO)werkzeug :  * Running on http://0.0.0.0:8080/
[2013-09-10 17:35:29,696](INFO)werkzeug :  * Restarting with reloader
[2013-09-10 17:35:36,151](INFO)werkzeug : 192.168.198.1 - - [10/Sep/2013 17:35:36] "GET / HTTP/1.1" 200 -
[2013-09-10 17:35:36,224](INFO)werkzeug : 192.168.198.1 - - [10/Sep/2013 17:35:36] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-10 17:35:36,227](INFO)werkzeug : 192.168.198.1 - - [10/Sep/2013 17:35:36] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-10 17:35:36,249](INFO)werkzeug : 192.168.198.1 - - [10/Sep/2013 17:35:36] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
